MH   MA   Fitted_lam3  lam3_error
470  230  10           7.49045
500  230  10           7.88382
550  230  2.4494       6.99585
550  250  2.64617      5.89874
600  230  3.08786      5.97307
600  250  3.32982      4.86764
650  230  10           8.75117
650  250  10           8.26911
650  300  10           7.66074
700  230  10           8.99834
700  250  10           8.96148
700  300  10           8.77457
700  325  10           8.50265
750  230  5.48443      4.77265
750  250  5.88615      5.35495
750  300  10           8.87492
750  325  10           8.94686
750  350  4.87077      6.63846
800  230  6.42649      5.06181
800  250  6.88981      5.0407
800  300  6.8107       5.39826
800  325  6.68129      5.33888
800  350  5.68847      6.34738
